Question,Answer
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The first semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna offer diverse options including Advanced Engineering Mathematics (MH 503), Control of Mechatronic Systems (EE 501), Digital Control (EE 577), Generalized Theory of Electrical Machines (EE 589), and Artificial Intelligence (CS 561)[2]. </CONTEXT> 
 <QUESTION> Which course focuses on advanced mathematical concepts, and what is its course code? </QUESTION>",The course focusing on advanced mathematical concepts is Advanced Engineering Mathematics (MH 503).
Is the research activity of IIT Patna faculty mentioned as being infrequent or regular?,The context explicitly mentions that faculty are regularly involved in research.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The CSE department at IIT Patna has established the ""Microsoft Center of Excellence on Artificial Intelligence"" and hosts technical clubs like Google Developer Student Clubs and NJACK (Not Just Another Computer Science Club) to enhance coding and programming skills through productive sessions and events. </CONTEXT> 
 <QUESTION> What is the organizational structure regarding the clubs in relation to the department? </QUESTION>","The clubs are hosted by the CSE department at IIT Patna, suggesting they are organized and supported by the department."
What role do the state-of-the-art research laboratories play in the educational environment within the department?,They support research and experimentation by the students.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> ""Celesta"" features flagship events such as Robo Wars (robot combat competition), Tech Quiz (quiz on scientific advancements), Paper Presentation (research proposal competition), and Line Follower Robotics (autonomous robot design challenge). </CONTEXT> 
 <QUESTION> Besides ""Robo Wars,"" which other event promotes practical application and design in robotics at Celesta? </QUESTION>","Besides ""Robo Wars,"" ""Line Follower Robotics"" also promotes practical application and design in robotics at Celesta."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna’s library is equipped with an extensive collection of books, journals, e-resources, and databases like IEEE Xplore and SpringerLink. Students have access to these resources for academic research and self-study throughout their tenure. </CONTEXT> 
 <QUESTION> How does the availability of e-resources benefit students at IIT Patna? </QUESTION>",The e-resources enhance students' research capabilities and learning opportunities.
Which prominent companies were notably absent from the IIT Patna placement drive in 2025?,Core recruiters like Google and Microsoft were absent from the placement drive.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Eligibility for the MTech program in Mechanical Engineering at IIT Patna requires a BTech/BE degree in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI). </CONTEXT> 
 <QUESTION> Does the context provide information about any minimum GATE score cut-offs for the MTech program, and if not, what aspect is mentioned regarding the GATE score? </QUESTION>","No, the context does not provide specific GATE score cut-offs. It only states the requirement of a *valid* GATE score within the specified engineering fields."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute offers several interdisciplinary electives such as Computational Neuroscience, Bioinformatics Algorithms, Financial Engineering, and Advanced Materials Design. These courses are open to students from all departments, fostering cross-disciplinary learning. </CONTEXT> 
 <QUESTION> What is the core subject matter explored within the ""Bioinformatics Algorithms"" elective? </QUESTION>","The ""Bioinformatics Algorithms"" elective presumably focuses on algorithms used in the field of bioinformatics, which combines biology and computer science."
Who typically delivers these guest lectures at IIT Patna?,These guest lectures are typically delivered by industry leaders and academicians.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute offers several open electives that cater to emerging fields such as Artificial Intelligence in Healthcare, Smart Grid Technologies, Environmental Sustainability, and Advanced Robotics. These electives are available to students from all branches and are often taught by industry experts or visiting faculty. </CONTEXT> 
 <QUESTION> Describe the subject matter of the open elective on Smart Grid Technologies. </QUESTION>",The open elective on Smart Grid Technologies likely covers topics related to modernizing the electrical grid with technologies that improve efficiency and reliability.
What specific types of government agencies does IIT Patna collaborate with?,IIT Patna collaborates with government agencies including ISRO (Indian Space Research Organisation) and DRDO (Defence Research and Development Organisation).
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The Department of Physics at IIT Patna offers a comprehensive Ph.D. program with coursework including Advanced Quantum Mechanics, Condensed Matter Physics, Statistical Mechanics, and specialized electives like Nonlinear Dynamics, Nanoscience, and Quantum Field Theory. </CONTEXT> 
 <QUESTION> In what city and state is the IIT Patna's Department of Physics located? </QUESTION>","The context specifies that the program is at IIT Patna, but doesn't provide the specific city or state. One can infer that the program is likely located in Patna, Bihar, India."
What type of performances are implied to take place during events like Anwesha and Celesta?,Live performances are implied to take place during events like Anwesha and Celesta.
"What performing arts event is included in the activities of ""Reverberance""?","Drama performances are included in the activities of ""Reverberance""."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has a dedicated robotics lab equipped with tools like Arduino kits, Raspberry Pi boards, robotic arms, drones, and sensors for IoT applications. Students work on projects ranging from autonomous vehicles to industrial automation systems. </CONTEXT> 
 <QUESTION> What is a common type of student project involving the robotic arms? </QUESTION>","Student projects involving robotic arms likely encompass industrial automation tasks, potentially involving object manipulation, assembly, or testing within a simulated environment."
